index,open_btc,high_btc,low_btc,close_btc,volume_btc,num_trades_btc,buy_volume_btc,open_eth,high_eth,low_eth,close_eth,volume_eth,num_trades_eth,buy_volume_eth,sum_volume,count,avg,min,max,open_keep,close_keep,high_keep,low_keep,vol_keep,volcon_keep,open,close,high,low,volume,volumeConverted,average,cnt
2020-05-30,9426.60000000,9740.00000000,9331.23000000,9697.72000000,55665.27254000,651290,29252.67990400,220.63000000,247.00000000,218.80000000,243.66000000,1019550.75146000,341862,511425.44765000,55722.799999999996,13,4286.369230769231,2.0,19998.0,0.003006,0.002638,0.005663,0.001516,43601.43,122.51430789,0.679682981718,0.610753831756,1.03172993718,0.483405477958,40921.63756195062,27584.9750584572,0.6740926488265955,20.0
2020-05-31,9697.72000000,9700.00000000,9381.41000000,9448.27000000,48333.78640300,651473,22778.00116900,243.71000000,245.39000000,229.58000000,231.57000000,821608.68884000,320066,381831.06077000,7363.49,12,613.6241666666666,10.0,2000.0,0.002676,0.001614,0.002726,0.001241,46042.93,99.96883646,0.610816447626,0.454319147975,0.677229775099,0.357196620792,36135.276163558905,20479.9179185536,0.5667569226773156,20.0
2020-06-01,9448.27000000,10380.00000000,9421.67000000,10200.77000000,76649.12696000,826964,41530.41231700,231.56000000,250.68000000,230.66000000,248.23000000,823816.69936000,318497,426075.31776000,6748.219999999999,4,1687.0549999999998,155.82,4000.0,0.00162,0.001642,0.001657,0.001254,43331.81,70.05021413,0.448293975255,0.432639347039,0.468399444036,0.396446211648,42269.82919143476,18892.5689766964,0.4469516281017915,3.0
2020-06-02,10202.71000000,10228.99000000,9266.00000000,9518.04000000,108970.77315100,1004312,49354.90796900,248.23000000,253.80000000,225.00000000,237.71000000,955520.91863000,355417,462682.15945000,10192.69,1,10192.69,10192.69,10192.69,0.001549,0.001362,0.001657,0.001203,45102.01,59.81918545,0.436801388323,0.371691198708,0.438719662319,0.314262643198,42631.36837203278,16084.309969861,0.3772881468288196,3.0
2020-06-03,9518.02000000,9690.00000000,9365.21000000,9666.24000000,46252.64493900,562784,22656.30815000,237.71000000,245.00000000,232.71000000,244.52000000,502928.13371000,213792,259904.04578000,16814.97,2,8407.485,6814.97,10000.0,0.001331,0.001543,0.002713,0.001153,41064.38,64.27632523,0.371691198708,0.292594945023,0.547466095857,0.243058197248,49168.564308509325,20194.3516135346,0.4107167231246506,8.0
2020-06-04,9666.32000000,9881.63000000,9450.00000000,9789.06000000,57456.10096900,665881,28778.23737100,244.54000000,246.60000000,236.00000000,243.21000000,669369.33920000,253226,332175.55769000,320.71999999999997,4,80.17999999999999,24.66,135.7,0.001469,0.001269,0.002718,0.00116,53594.34,68.17175102,0.299047285385,0.324882100713,0.598071704027,0.26207695569,59319.4180584263,17474.1231853782,0.29457678037514073,6.0
2020-06-05,9788.14000000,9854.75000000,9581.00000000,9621.16000000,47788.05005000,566062,22329.10711900,243.22000000,247.87000000,239.14000000,240.03000000,502547.41103000,205337,242309.99059000,527.46,2,263.73,263.73,263.73,0.001299,0.001295,0.002197,0.001174,49335.39,67.46638407,0.324882100713,0.315826794649,0.529374355449,0.286962131705,47774.836122872075,15926.8717921427,0.333373656189639,2.0
2020-06-06,9621.17000000,9735.00000000,9531.05000000,9666.30000000,32752.95089300,435796,15832.69376500,240.04000000,244.70000000,237.83000000,241.94000000,389423.07798000,161709,198723.53956000,1414.24,5,282.848,1.0,501.62,0.001295,0.001402,0.001402,0.001276,29067.96,39.40919711,0.339171950859,0.339664662061,0.342647246794,0.307610961845,48504.18613734277,16066.9839606468,0.33124942896994675,21.0
2020-06-07,9666.85000000,9802.00000000,9372.46000000,9746.99000000,57952.84838500,637766,28426.59512900,241.94000000,245.37000000,234.60000000,244.56000000,571102.55515000,226478,285159.65388000,21195.379999999997,7,3027.911428571428,10.0,7512.11,0.001403,0.00158,0.00264,0.001174,42333.07,65.64377100,0.339664662061,0.363451908621,0.636952241403,0.333050081162,39509.289174680984,15365.7617418393,0.3889151655931651,9.0
2020-06-08,9746.99000000,9800.00000000,9633.00000000,9782.01000000,40664.66412500,485139,19744.03912400,244.57000000,247.70000000,240.59000000,246.40000000,383116.54719000,159981,193451.07601000,376.25,1,376.25,376.25,376.25,0.001576,0.001562,0.001796,0.001355,35345.08,53.32700364,0.387371328875,0.3634410689,0.432642190564,0.338228076306,36028.18660396777,13105.7535567507,0.36376389688476213,5.0
